,count,label,name
0,3586,Mathematics,수
1,"1384,330","Mathematics,Number_theory",정수
2,692,Mathematics,자연수
3,"493,343,369,94","Mathematics,Dynamic_programming,Data_structures,String",수열
4,434,Mathematics,합
5,"402,361,369,189,473,46","Mathematics,Graph_theory,Data_structures,Greedy,String,Stack",길이
6,"398,110","Mathematics,Number_theory",나머지
7,"396,539","Mathematics,Graph_theory",사이
8,"377,457,556,326,186,56","Mathematics,Dynamic_programming,Implementation,Graph_theory,String,Stack",순서
9,"355,457,261,308,262,144,71,42","Mathematics,Dynamic_programming,Implementation,Graph_theory,Greedy,Graph_traversal,Breadth_first_search,Priority_queue",최대
10,"314,33,261","Mathematics,Implementation,Number_theory",소수
11,"309,89,29","Mathematics,Graph_theory,Binary_search",자리
12,"298,282","Mathematics,Implementation",계산
13,"296,544,528,364","Mathematics,Implementation,Graph_theory,Data_structures",위치
14,"208,200,206,202,119","Mathematics,Implementation,Graph_theory,Data_structures,Graph_traversal",좌표
15,"202,65","Mathematics,String",표현
16,172,Mathematics,확률
17,"132,67,77,56","Mathematics,Dynamic_programming,Graph_theory,Data_structures",행렬
18,123,Mathematics,연산
19,117,Mathematics,변
20,"108,94","Mathematics,Data_structures",집합
21,107,Mathematics,양의
22,106,Mathematics,배수
23,100,Mathematics,진법
24,"96,37","Mathematics,Number_theory",분수
25,"91,47","Mathematics,Number_theory",약수
26,90,Mathematics,함수
27,89,Mathematics,기댓값
28,84,Mathematics,공약수
29,83,Mathematics,곱
30,"80,164,65,139,102,55,17,23","Mathematics,Dynamic_programming,Implementation,Graph_theory,Greedy,Breadth_first_search,Depth_first_search,Priority_queue",최솟값
31,75,Mathematics,소수점
32,73,Mathematics,제곱
33,72,Mathematics,곱셈
34,68,Mathematics,진수
35,66,Mathematics,짝수
36,"66,31,14","Mathematics,Dynamic_programming,Data_structures",이진수
37,"65,38,22,65","Mathematics,Dynamic_programming,Implementation,Data_structures",순열
38,64,Mathematics,실수
39,63,Mathematics,수학
40,63,Mathematics,홀수
41,60,Mathematics,평균
42,"52,18","Mathematics,Number_theory",다항식
43,51,Mathematics,계수
44,50,Mathematics,분해
45,47,Mathematics,근
46,"47,81,29","Mathematics,Implementation,Binary_search",정렬
47,47,Mathematics,차원
48,46,Mathematics,절댓값
49,"45,28","Mathematics,Number_theory",제곱수
50,42,Mathematics,덧셈
51,42,Mathematics,조합
52,"37,11","Mathematics,Number_theory",방정식
53,35,Mathematics,반올림
54,"33,29","Mathematics,Number_theory",소인수
55,32,Mathematics,순서쌍
56,30,Mathematics,증명
57,29,Mathematics,비율
58,29,Mathematics,음수
59,29,Mathematics,지수
60,"29,40,22,15,6","Mathematics,Dynamic_programming,Data_structures,Binary_search,Divide_and_conquer",이진
61,28,Mathematics,자릿수
62,"27,37,51","Mathematics,Data_structures,String",수식
63,"25,25","Mathematics,Number_theory",공배수
64,21,Mathematics,나눗셈
65,20,Mathematics,양수
66,19,Mathematics,모듈러
67,17,Mathematics,오일러
68,17,Mathematics,평균값
69,17,Mathematics,차수
70,17,Mathematics,유리수
71,16,Mathematics,몫
72,16,Mathematics,로그
73,15,Mathematics,이항
74,"15,13","Mathematics,Number_theory",정수론
75,15,Mathematics,공식
76,13,Mathematics,부호
77,12,Mathematics,벡터
78,10,Mathematics,삼각수
79,5,Mathematics,정수형
80,4,Mathematics,"4,294,967,295"
81,"1030,1010,894","Dynamic_programming,Implementation,Graph_theory",번째
82,"416,154,444,190,236,44","Dynamic_programming,Implementation,Graph_theory,Data_structures,Greedy,Priority_queue",최소
